Hãng xe,Dòng xe,Xuất xứ,Kiểu dáng,Hộp số,Loại động cơ,Năm sản xuất,Số Km đã đi,Số ngày bài đã đăng,Dung tích động cơ,Giá thực tế,Giá dự đoán
toyota,vios 1.5g 2016,lắp ráp trong nước,sedan,số tự động,xăng,2016.0,150000.0,57.0,1.5,345.0,336.89139495790585
mg,5 luxury 1.5 at 2024,nhập khẩu,sedan,số tự động,xăng,2024.0,18000.0,57.0,1.5,440.0,450.30627853621627
hyundai,venue 1.0 t,lắp ráp trong nước,suv,số tự động,xăng,2024.0,15000.0,58.0,1.0,2024.0,2008.4168483299886
mitsubishi,triton 4x2 at mivec premium 2021,nhập khẩu,bán tải / pickup,số tự động,dầu,2021.0,50000.0,62.0,2.4,550.0,562.7637724271207
ford,transit limousine 2018,lắp ráp trong nước,van/minivan,số tay,dầu,2018.0,20000.0,58.0,2.4,380.0,481.34290533591906
toyota,corolla cross 1.8v 2022,nhập khẩu,suv,số tự động,xăng,2022.0,27677.0,57.0,1.8,710.0,721.4517240115463
landrover,range rover evoque dynamic 2014,nhập khẩu,suv,số tự động,xăng,2014.0,65000.0,57.0,2.0,720.0,653.0050082128662
kia,k5 luxury 2.0 at 2022,lắp ráp trong nước,sedan,số tự động,xăng,2022.0,58000.0,60.0,2.0,645.0,665.1151359731768
kia,sedona 2.2 dat luxury 2019,lắp ráp trong nước,van/minivan,số tự động,dầu,2019.0,179626.7683965918,57.0,2.2,760.0,747.5623389659625
toyota,hilux 2.4l 4x2 mt 2020,nhập khẩu,bán tải / pickup,số tay,dầu,2020.0,96383.0,57.0,2.4,525.0,423.14480467524476
volkswagen,viloran luxury 2024,nhập khẩu,van/minivan,số tự động,xăng,2024.0,14000.0,58.0,2.0,2138.0,2127.27828735826
kia,sonet deluxe 1.5 at 2023,lắp ráp trong nước,crossover,số tự động,xăng,2023.0,19000.0,59.0,1.5,509.0,497.40330872863063
mazda,2 luxury 2024,nhập khẩu,sedan,số tự động,xăng,2024.0,3000.0,57.0,1.5,480.0,469.9344153495129
suzuki,ciaz 1.4 at 2017,nhập khẩu,sedan,số tự động,xăng,2017.0,96000.0,58.0,1.4,258.0,267.97306102074384
mercedes,benz e class e300 amg 2019,lắp ráp trong nước,sedan,số tự động,xăng,2019.0,30000.0,57.0,2.0,1286.0,1321.6243406270178
vinfast,fadil nâng cao 1.4 at 2022,lắp ráp trong nước,hatchback,số tự động,xăng,2022.0,56000.0,88.0,1.4,310.0,332.4440387077392
vinfast,vf e34 at 2022,lắp ráp trong nước,crossover,số tự động,điện,2022.0,70000.0,57.0,0.1,448.0,336.3836174542688
toyota,corolla altis 1.8g mt 2008,lắp ráp trong nước,sedan,số tay,xăng,2008.0,179626.7683965918,60.0,1.8,188.0,159.9530341053329
toyota,fortuner 2.4l 4x2 mt 2022,lắp ráp trong nước,suv,số tay,dầu,2022.0,91000.0,67.0,2.4,810.0,848.2397237808482
ford,everest titanium plus 2.0l 4x4 at 2023,nhập khẩu,suv,số tự động,dầu,2023.0,50000.0,58.0,2.0,1330.0,1369.952164645341
vinfast,vf8 plus awd 2023,lắp ráp trong nước,suv,số tự động,điện,2023.0,29000.0,57.0,2.097755539082448,880.0,834.361181053921
volvo,s90 ultra b6 awd 2025,nhập khẩu,sedan,số tự động,xăng,2025.0,1000.0,57.0,2.0,2150.0,2162.9812142199653
hyundai,creta đặc biệt 1.5 at 2022,nhập khẩu,crossover,số tự động,xăng,2022.0,179626.7683965918,57.0,1.5,565.0,564.3941762946519
toyota,raize g 1.0 cvt 2024,nhập khẩu,suv,số tự động,xăng,2024.0,45000.0,81.0,1.0,478.0,507.77310096693265
kia,k3 luxury 1.6 at 2022,lắp ráp trong nước,sedan,số tự động,xăng,2022.0,25000.0,57.0,1.6,529.0,528.1545652274374
ford,transit svp 2018,lắp ráp trong nước,van/minivan,số tay,dầu,2018.0,100000.0,57.0,2.4,410.0,417.570265361406
audi,q5 2.0 at 2018,nhập khẩu,suv,số tự động,xăng,2018.0,43000.0,90.0,2.0,1199.0,1284.019527914092
mercedes,benz e class e200 sport 2019,lắp ráp trong nước,sedan,số tự động,xăng,2019.0,80000.0,59.0,2.0,1199.0,1191.0827008468707
ford,everest titanium 2.0l 4x2 at 2019,nhập khẩu,suv,số tự động,dầu,2019.0,58000.0,57.0,2.0,820.0,819.0438174581561
bmw,3 series 320i 2015,nhập khẩu,sedan,số tự động,xăng,2015.0,78000.0,57.0,2.0,499.0,512.2206129253644
mercedes,benz e class e180 2020,lắp ráp trong nước,sedan,số tự động,xăng,2020.0,50000.0,57.0,1.5,960.0,939.1595928643701
ford,everest titanium 2.0l 4x2 at 2022,nhập khẩu,suv,số tự động,dầu,2022.0,60000.0,58.0,2.0,919.0,1078.018540232337
mitsubishi,attrage 1.2 cvt 2020,nhập khẩu,sedan,số tự động,xăng,2020.0,60000.0,57.0,1.2,309.0,317.47216097177557
mazda,cx5 2.5 signature premium awd i,lắp ráp trong nước,suv,số tự động,xăng,2020.0,60000.0,57.0,2.5,2020.0,1991.960857214806
vinfast,vf3 plus 2024,lắp ráp trong nước,hatchback,số tự động,điện,2024.0,9000.0,57.0,2.097755539082448,229.0,231.20445046550327
kia,k3 premium 1.6 at 2022,lắp ráp trong nước,sedan,số tự động,xăng,2022.0,20000.0,60.0,1.6,580.0,546.5628687646093
toyota,innova e 2.0 mt 2020,lắp ráp trong nước,crossover,số tay,xăng,2020.0,63000.0,57.0,2.0,570.0,357.6134393662668
toyota,corolla altis 1.8g at 2017,lắp ráp trong nước,sedan,số tự động,xăng,2017.0,51000.0,57.0,1.8,490.0,464.6452766812692
mazda,3 1.5l sport luxury 2019,lắp ráp trong nước,hatchback,số tự động,xăng,2019.0,35000.0,57.0,1.5,485.0,450.6866971474779
hyundai,accent 1.4 at 2012,nhập khẩu,sedan,số tự động,xăng,2012.0,179626.7683965918,62.0,1.4,240.0,264.1914279987787
mazda,cx8 premium awd 2022,lắp ráp trong nước,suv,số tự động,xăng,2022.0,70000.0,57.0,2.5,880.0,875.116275973804
mercedes,benz c class c200 2018,lắp ráp trong nước,sedan,số tự động,xăng,2018.0,50000.0,58.0,2.0,735.0,742.9773588072235
bmw,5 series 530i m sport 2022,nhập khẩu,sedan,số tự động,xăng,2022.0,38000.0,57.0,2.0,1999.0,2022.3941770592564
mazda,2 1.5 at 2016,lắp ráp trong nước,sedan,số tự động,xăng,2016.0,65000.0,58.0,1.5,320.0,291.43596942473005
mercedes,benz glc 200 4matic 2022,lắp ráp trong nước,suv,số tự động,xăng,2022.0,179626.7683965918,57.0,2.0,1399.0,1492.5411068526048
ford,territory titanium 1.5 at 2023,lắp ráp trong nước,suv,số tự động,xăng,2023.0,22000.0,103.0,1.5,750.0,723.9143032078258
mazda,2 1.5 at 2015,lắp ráp trong nước,hatchback,số tự động,xăng,2015.0,150000.0,72.0,1.5,246.0,270.5001777873631
toyota,fortuner 2.4g 4x2 at 2020,lắp ráp trong nước,suv,số tự động,dầu,2020.0,46800.0,58.0,2.4,860.0,830.5087632053555
kia,morning van 1.0 at 2016,nhập khẩu,van/minivan,số tự động,xăng,2016.0,8000.0,60.0,1.0,188.0,203.47354857522907
mitsubishi,attrage 1.2 cvt 2021,nhập khẩu,sedan,số tự động,xăng,2021.0,30000.0,61.0,1.2,330.0,322.015388756185
