Hãng xe,Dòng xe,Giá thành,Thông số
Mercedes Benz,C Class C300 Amg 2012,348000000,"Năm sản xuất: 2012, Số Km đã đi: 130000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: Sedan, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 3.0"
Mercedes Benz,C Class C300 Amg 2022,1799000000,"Năm sản xuất: 2022, Số Km đã đi: 30, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: Sedan, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 2.0"
Mercedes Benz,Glc 200 2019,988000000,"Năm sản xuất: 2019, Số Km đã đi: 46000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: SUV, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 2.0"
Mercedes Benz,Glc 200 2022,1358000000,"Năm sản xuất: 2022, Số Km đã đi: 28000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: SUV, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 2.0"
Mercedes Benz,Glc 300 4Matic 2023,2358000000,"Năm sản xuất: 2023, Số Km đã đi: 12000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: SUV, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 2.0"
Toyota,Camry 2 5Q 2014,485000000,"Năm sản xuất: 2014, Số Km đã đi: 100000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: Sedan, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 2.5"
Toyota,Fortuner 2 4G 4X2 At Legender 2021,930000000,"Năm sản xuất: 2021, Số Km đã đi: 39000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: SUV, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Dầu, Dung tích động cơ: 2.4"
Vinfast,Fadil 1 4 At 2021,290000000,"Năm sản xuất: 2021, Số Km đã đi: 60000, Xuất xứ: Lắp ráp trong nước, Kiểu dáng: Hatchback, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 1.4"
Audi,Q2 1 4 Tfsi 2019,858000000,"Năm sản xuất: 2019, Số Km đã đi: 66000, Xuất xứ: Nhập khẩu, Kiểu dáng: Crossover, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Xăng, Dung tích động cơ: 1.4"
Ford,Everest Titanium 2 0L 4X2 At 2022,935000000,"Năm sản xuất: 2022, Số Km đã đi: 42000, Xuất xứ: Nhập khẩu, Kiểu dáng: SUV, Hộp số: Số tự động, Tuổi thọ: 31, Loại động cơ: Dầu, Dung tích động cơ: 2.0"
