Hãng xe,Dòng xe,Giá thành,Năm sản xuất,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Tuổi thọ,Loại động cơ,Dung tích động cơ
47,1938,1089000000,0.1264577647689526,-0.012508650666337044,0,5,1,-0.604528152916388,2,-0.07111809691209854
50,2027,188000000,-2.780903108893467,-0.008408700101895308,0,3,1,-0.604528152916388,2,0.3857054560792225
50,4344,535000000,0.7494636662680425,-0.014063804328711495,1,5,1,-0.604528152916388,2,-0.64214753815125
53,3725,253000000,-0.08121086906407739,-0.011236252215303402,0,6,1,-0.604528152916388,2,-0.64214753815125
56,2866,6478000000,0.9571323001010724,-0.02066147305253227,1,6,1,-0.604528152916388,2,0.956734897318374
71,1110,630000000,0.33412639860198257,-0.013781049117370686,1,5,1,-0.604528152916388,2,-0.2995298734077591
71,2212,435000000,-0.28887950289710734,-0.007136301650861666,0,3,0,-0.604528152916388,2,-0.07111809691209854
71,4133,445000000,0.7494636662680425,-0.016184468413767566,0,6,1,-0.604528152916388,2,-0.64214753815125
18,1730,289000000,-0.9118854043961973,-0.004167371931783168,0,6,1,-0.604528152916388,2,-0.07111809691209854
18,3881,410000000,-0.08121086906407739,-0.008408700101895308,0,8,0,-0.604528152916388,0,0.3857054560792225
23,934,495000000,0.9571323001010724,-0.015477580385415541,0,6,1,-0.604528152916388,2,-0.64214753815125
23,945,218000000,-1.9502285735613472,-0.009822476158599354,0,6,1,-0.604528152916388,2,-0.2995298734077591
23,1192,475000000,-0.7042167705631672,-0.006994924045191262,0,5,1,-0.604528152916388,2,-0.07111809691209854
26,2168,298000000,0.1264577647689526,-0.01703273404778999,0,4,1,-0.604528152916388,2,-0.9276622587708258
26,3391,1125000000,0.9571323001010724,-0.01576033559675635,0,5,1,-0.604528152916388,2,0.4999113443270529
26,3412,875000000,0.33412639860198257,-0.014063804328711495,0,5,1,-0.604528152916388,0,0.15729367958356225
35,827,1265000000,0.9571323001010724,-0.014063804328711495,0,8,1,-0.604528152916388,0,0.15729367958356225
38,2054,520000000,-2.780903108893467,-0.008408700101895308,1,5,1,-0.604528152916388,2,3.0124408857793195
44,278,465000000,-0.08121086906407739,-0.009822476158599354,0,6,1,-0.604528152916388,2,-0.07111809691209854
44,282,439000000,-0.28887950289710734,-0.009822476158599354,0,6,1,-0.604528152916388,2,0.4999113443270529
47,1404,1959000000,0.7494636662680425,-0.020213730175374096,0,6,1,-0.604528152916388,2,-0.07111809691209854
47,1840,7350000000,0.1264577647689526,-0.02000166376686849,1,5,1,-0.604528152916388,2,2.212999668044507
47,1938,1088000000,0.1264577647689526,-0.010529364186951377,0,5,1,-0.604528152916388,2,-0.07111809691209854
50,2837,345000000,-1.327222672062257,-0.021415439823572538,0,5,1,-0.604528152916388,0,0.4999113443270529
71,188,1579000000,-1.1195540382292273,0.1367210672230019,1,5,1,-0.604528152916388,2,2.212999668044507
71,739,420000000,-1.9502285735613472,-0.0004915541843526466,1,6,1,-0.604528152916388,2,0.4999113443270529
71,1119,650000000,0.5417950324350125,-0.014770692357063518,1,5,1,-0.604528152916388,2,-0.2995298734077591
71,2392,2950000000,-0.4965481367301373,-0.0027535958750791213,1,5,1,-0.604528152916388,2,2.898234997531489
12,2511,45000000,-2.988571742726497,-0.02034733201273263,0,4,0,-0.604528152916388,2,-1.441588755886062
18,1445,415000000,-0.08121086906407739,-0.00865780744308656,0,5,1,-0.604528152916388,2,-1.2131769793904015
18,1455,379000000,0.1264577647689526,-0.010670741792621783,0,5,1,-0.604528152916388,2,-0.64214753815125
18,1610,1150000000,0.7494636662680425,-0.016891356442119587,1,5,1,-0.604528152916388,0,-0.07111809691209854
