title,price,posted_date,specs
Xe Audi Q2 1.4 TFSI 2019,858 Triệu,30/09/2025,"{'Năm sản xuất': '2019', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '66,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Crossover', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.4 L'}"
Xe Ford Everest Titanium 2.0L 4x2 AT 2022,935 Triệu,30/09/2025,"{'Năm sản xuất': '2022', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '42,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Dầu  2.0 L'}"
Xe Ford Everest Titanium 2.0L 4x4 AT 2022,1 Tỷ 15 Triệu,30/09/2025,"{'Năm sản xuất': '2022', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '41,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Dầu  2.0 L'}"
Xe Ford Ranger Raptor 2.0L 4x4 AT 2021,980 Triệu,30/09/2025,"{'Năm sản xuất': '2021', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '63,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Bán tải / Pickup', 'Hộp số': 'Số tự động', 'Động cơ': 'Dầu  2.0 L'}"
Xe Ford Ranger Raptor 2.0L 4x4 AT 2023,1 Tỷ 155 Triệu,30/09/2025,"{'Năm sản xuất': '2023', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '28,000 Km', 'Xuất xứ': 'Nhập khẩu', 'Kiểu dáng': 'Bán tải / Pickup', 'Hộp số': 'Số tự động', 'Động cơ': 'Dầu  2.0 L'}"
Xe Honda CRV L 2020,777 Triệu,30/09/2025,"{'Năm sản xuất': '2020', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '62,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.5 L'}"
Xe Hyundai SantaFe Cao cấp 2.2L HTRAC 2021,890 Triệu,30/09/2025,"{'Năm sản xuất': '2021', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '60,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Dầu  2.2 L'}"
Xe Hyundai SantaFe Cao cấp 2.5L HTRAC 2022,1 Tỷ 45 Triệu,30/09/2025,"{'Năm sản xuất': '2022', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '60,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'SUV', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  2.5 L'}"
Xe Kia Sedona 2.2 DAT Luxury 2020,799 Triệu,30/09/2025,"{'Năm sản xuất': '2020', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '90,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Van/Minivan', 'Hộp số': 'Số tự động', 'Động cơ': 'Dầu  2.2 L'}"
Xe Mazda 3 1.5L Luxury 2023,569 Triệu,30/09/2025,"{'Năm sản xuất': '2023', 'Tình trạng': 'Xe đã dùng', 'Số Km đã đi': '38,000 Km', 'Xuất xứ': 'Lắp ráp trong nước', 'Kiểu dáng': 'Sedan', 'Hộp số': 'Số tự động', 'Động cơ': 'Xăng  1.5 L'}"
